=== RUN   TestMakeLargeSlice
gc 1 @0.006s 0%: 0+0.51+0 ms clock, 0+0/0/0+0 ms cpu, 128->128->128 MB, 128 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 44 @1.071s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 45 @1.095s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 46 @1.118s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 47 @1.140s 0%: 0+0.97+0 ms clock, 0+0/0.97/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 48 @1.162s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 49 @1.185s 0%: 0+0.97+0 ms clock, 0+0/1.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 50 @1.209s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 51 @1.233s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 52 @1.256s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 53 @1.280s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 54 @1.301s 0%: 0.97+0+0 ms clock, 15+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 55 @1.325s 0%: 0+0.30+0 ms clock, 0+0/0.61/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 56 @1.347s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 57 @1.368s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 58 @1.390s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 59 @1.413s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 60 @1.437s 0%: 0+0+0.97 ms clock, 0+0/0/0+15 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 61 @1.460s 0%: 0+0.97+0 ms clock, 0+0/1.9/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 62 @1.483s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 63 @1.506s 0%: 0+0+0 ms clock, 0+0/0/0+0 ms cpu, 256->256->128 MB, 256 MB goal, 0 MB stacks, 0 MB globals, 16 P
--- PASS: TestMakeLargeSlice (1.51s)
PASS
ok  	gomodel	1.706s
